,循环号,放电容量/Ah,矢量
33,33.0,0.8909465020576128,"[0, 1.1244444444444446, 0.16666666666666666, 1.0722222222222222, 0.16666666666666666, 0.8909465020576128]"
34,34.0,0.8836238198983297,"[0, 1.12, 0.16666666666666666, 1.0708333333333333, 0.16666666666666666, 0.8836238198983297]"
35,35.0,0.8760590656015488,"[0, 1.1202777777777777, 0.16666666666666666, 1.0697222222222222, 0.16666666666666666, 0.8760590656015488]"
36,36.0,0.913459210844831,"[0, 1.1127777777777779, 0.16666666666666666, 1.076111111111111, 0.16666666666666666, 0.913459210844831]"
37,37.0,0.9211450012103608,"[0, 1.1072222222222223, 0.16666666666666666, 1.0775, 0.16666666666666666, 0.9211450012103608]"
38,38.0,0.9225974340353433,"[0, 1.1080555555555556, 0.16666666666666666, 1.0777777777777777, 0.16666666666666666, 0.9225974340353433]"
39,39.0,0.920842411038489,"[0, 1.108888888888889, 0.16666666666666666, 1.0772222222222223, 0.16666666666666666, 0.920842411038489]"
40,40.0,0.9198741224885021,"[0, 1.1075000000000002, 0.16666666666666666, 1.0772222222222223, 0.16666666666666666, 0.9198741224885021]"
41,41.0,0.9181796175260226,"[0, 1.1080555555555556, 0.16666666666666666, 1.0769444444444445, 0.16666666666666666, 0.9181796175260226]"
42,42.0,0.9143669813604447,"[0, 1.1080555555555556, 0.16666666666666666, 1.0763888888888888, 0.16666666666666666, 0.9143669813604447]"
43,43.0,0.8778140885984014,"[0, 1.1233333333333333, 0.16666666666666666, 1.07, 0.16666666666666666, 0.8778140885984014]"
44,44.0,0.8693415637860076,"[0, 1.1188888888888888, 0.16666666666666666, 1.0686111111111112, 0.16666666666666666, 0.8693415637860076]"
45,45.0,0.8820503510045992,"[0, 1.1186111111111112, 0.16666666666666666, 1.0708333333333333, 0.16666666666666666, 0.8820503510045992]"
46,46.0,0.9063786008230448,"[0, 1.1027777777777779, 0.16666666666666666, 1.075, 0.16666666666666666, 0.9063786008230448]"
47,47.0,0.9074074074074074,"[0, 1.106388888888889, 0.16666666666666666, 1.0752777777777778, 0.16666666666666666, 0.9074074074074074]"
48,48.0,0.9070442992011616,"[0, 1.106388888888889, 0.16666666666666666, 1.075, 0.16666666666666666, 0.9070442992011616]"
49,49.0,0.905531348341805,"[0, 1.1066666666666667, 0.16666666666666666, 1.0747222222222221, 0.16666666666666666, 0.905531348341805]"
50,50.0,0.9046235778261913,"[0, 1.106388888888889, 0.16666666666666666, 1.0747222222222221, 0.16666666666666666, 0.9046235778261913]"
51,51.0,0.9036552892762044,"[0, 1.106388888888889, 0.16666666666666666, 1.0744444444444445, 0.16666666666666666, 0.9036552892762044]"
52,52.0,0.901960784313725,"[0, 1.106388888888889, 0.16666666666666666, 1.0741666666666667, 0.16666666666666666, 0.901960784313725]"
53,53.0,0.9001452432824975,"[0, 1.1055555555555556, 0.16666666666666666, 1.073888888888889, 0.16666666666666666, 0.9001452432824975]"
54,54.0,0.8996005809731296,"[0, 1.1052777777777778, 0.16666666666666666, 1.073888888888889, 0.16666666666666666, 0.8996005809731296]"
55,55.0,0.8973614137012831,"[0, 1.1058333333333334, 0.16666666666666666, 1.073611111111111, 0.16666666666666666, 0.8973614137012831]"
56,56.0,0.8968167513919143,"[0, 1.1052777777777778, 0.16666666666666666, 1.0733333333333333, 0.16666666666666666, 0.8968167513919143]"
